('https-//m.vk.com/vk', Fraction(14053, 9852150))
('https-//m.vk.com/authors/discoveries', Fraction(779, 2298835))
('https-//m.vk.com/photo-49698330_457242006', Fraction(195, 459767))
('https-//vk.com/market', Fraction(17, 46915))
('https-//vk.com/blog/vk-results-2019', Fraction(29, 106625))
('https-//vk.com/photo53448_457260529', Fraction(61, 38385))
('https-//m.vk.com/wall-27902394_1066300', Fraction(201, 507535))
('https-//m.vk.com/blog', Fraction(46, 46915))
('https-//vk.com/fave', Fraction(43048886, 15604163575))
('https-//m.vk.com/artekimma', Fraction(3557, 3636339))
('https-//m.vk.com/photo-27902394_457261547', Fraction(231, 362525))
('https-//m.vk.com/artem7869', Fraction(551, 870060))
('https-//m.vk.com/wall-76477496_151578', Fraction(195, 459767))
('https-//vk.com/blog/messenger-2020', Fraction(797, 1919250))
('https-//m.vk.com/photo-27902394_457261566', Fraction(737, 1450100))
('https-//vk.com/blog/2020', Fraction(29, 106625))
('https-//vk.com/blog/speech-recognition', Fraction(29, 106625))
('https-//m.vk.com/wall-76477496_151526', Fraction(2139, 6060565))
('https-//vk.com/blog/design-2020', Fraction(469, 1172875))
('https-//m.vk.com/artist/andro', Fraction(36666491, 32947828725))
('https-//m.vk.com/artist/jony', Fraction(21216161, 32947828725))
('https-//m.vk.com/svetdetigoal', Fraction(73, 179130))
('https-//vk.com/photo53448_457260532', Fraction(37, 38385))
('https-//vk.com/jobs/321', Fraction(83, 81035))
('https-//vk.com/clips15594498', Fraction(17, 46915))
('https-//m.vk.com/video-157778054_456239596', Fraction(8539, 13839925))
('https-//m.vk.com/artist/panic_atthedisco', Fraction(8788757, 10982609575))
('https-//vk.com/photo-22822305_457315551', Fraction(31073, 23926650))
('https-//m.vk.com/wall-27902394_1067336', Fraction(93, 290020))
('https-//vk.com/clips/effect/-194351072_-5', Fraction(17, 46915))
('https-//m.vk.com/away.php', Fraction(893357011, 101999308950))
('https-//vk.com/blog/cska', Fraction(29, 106625))
('https-//m.vk.com/photo-27902394_457261393', Fraction(109, 130509))
('https-//m.vk.com/shishuner', Fraction(73373, 72726780))
('https-//vk.com/blog/ipad-2021', Fraction(259, 639750))
('https-//vk.com/jobs/want', Fraction(83, 81035))
('https-//m.vk.com/cnrussia', Fraction(791, 1509810))
('https-//m.vk.com/photo-27902394_457261568', Fraction(1417, 1450100))
('https-//m.vk.com/photo-27902394_457261571', Fraction(1417, 1450100))
('https-//m.vk.com/@korzovphoto-kompoziciya-chast-1-kontrast', Fraction(195, 459767))
('https-//m.vk.com/photo-49698330_457241811', Fraction(195, 459767))
('https-//m.vk.com/artist/vanyadmitrienko', Fraction(6213702, 10982609575))
('https-//m.vk.com/artist/rukivverkh', Fraction(4449788, 4706832675))
('https-//m.vk.com/@authors-kak-zarabotat-vkontakte', Fraction(102, 208985))
('https-//vk.com/clips/effect/-194351072_-41', Fraction(17, 46915))
('https-//vk.com/clips/effect/-130074765_-123', Fraction(17, 46915))
('https-//vk.com/videos-38922126', Fraction(73, 179130))
('https-//m.vk.com/photo-19542789_457349790', Fraction(110, 173159))
('https-//m.vk.com/korzovphoto', Fraction(18941, 6896505))
('https-//m.vk.com/photo-19542789_457350352', Fraction(513, 618425))
('https-//vk.com/blog/vk-health', Fraction(29, 106625))
('https-//m.vk.com/korableva_maria', Fraction(229, 290020))
('https-//m.vk.com/photo-69570324_457243863', Fraction(7829, 10909017))
('https-//m.vk.com/photo-147845620_456239017', Fraction(2, 4265))
